Mouser #,Mfr. #,Manufacturer,Desc.,RoHS,Lifecycle,Customer Part #,Order Qty.,Price (USD),Ext.: (USD)
81-CSTLS8M00G53-A0,CSTLS8M00G53-A0,Murata,Resonators 8.000MHZ .5% LEADED,RoHS Compliant,,,1,$0.21,$0.21 
642-MHSS1105,MHSS1105,Apem,Slide Switches Microminiature slide SP DT,RoHS Compliant,,,1,$0.60,$0.60 
12BH003-GR,12BH003-GR,Eagle Plastic Devices,Coin Cell Battery Holders CR2032 BATTERY CLIP,RoHS Compliant,,,1,$0.45,$0.45 
512-PN2222ABU,PN2222ABU,Fairchild Semiconductor,Bipolar Transistors - BJT NPN Transistor General Purpose,RoHS Compliant,,,1,$0.21,$0.21 
660-MF1/4LCT52R510J,MF1/4LCT52R510J,KOA Speer,Metal Film Resistors - Through Hole 1/4 WATT 51 OHM 5%,RoHS Compliant,,,1,$0.10,$0.10 
660-MF1/4LCT52R561J,MF1/4LCT52R561J,KOA Speer,Metal Film Resistors - Through Hole 1/4 WATT 560 OHM 5%,RoHS Compliant,,,2,$0.10,$0.20 
941-C566DBFECU0W0351,C566D-BFE-CU0W0351,"Cree, Inc.",Standard LEDs - Through Hole Blue Oval,RoHS Compliant,,,1,$0.19,$0.19 
538-10-89-7062,10-89-7062,Molex,Headers & Wire Housings VERT BRKAWAY HDR 6P CN,RoHS Compliant,,,1,$0.70,$0.70 
782-TSAL6100,TSAL6100,Vishay,Infrared Emitters 10 Degree 40mW,RoHS Compliant,,,1,$0.48,$0.48 
556-ATTINY85-20PU,ATTINY85-20PU,Atmel,8-bit Microcontrollers - MCU 8kB Flash 0.512kB EEPROM 6 I/O Pins,RoHS Compliant,,,1,$2.35,$2.35 
485-1769,1769,Adafruit,Adafruit Accessories JST-PH 2-pin SMT Right Angle Connect,RoHS Compliant,,,1,$0.75,$0.75 
